n_clusters,inertia,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,25207037486108.42,0.7994780257618437,0.34924344802737123,87162.72126946689
3,14296455714467.367,0.7395127076055992,0.6714199996814815,82844.33351142597
4,10462518295874.896,0.7057445181169246,0.814740670101566,77386.46006226185
5,8775076911190.637,0.6830064548761223,0.9560468747914019,69953.31256091293
6,7932779683910.806,0.6643578930240898,1.0824475614655908,62235.227998000184
7,7375838748021.214,0.6504040937689385,1.2284788014425998,55973.22251767214
8,6924847194835.297,0.6539219610726101,1.162924082056268,51244.934181387194
9,6606221859986.51,0.6413517959447609,1.3069412207352662,47093.94317164279
10,6275648844350.901,0.6438970218208732,1.2583453680610328,44155.74209773227
