n_clusters,inertia,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,1485419108041429.0,0.7397927841915184,0.42048473532775305,2982.443403573076
3,755828908019408.8,0.6941842755099098,0.6222001812003329,3287.291309308806
4,543745262631843.7,0.6537221243936231,0.7331578405452199,3139.2283998107687
5,418026492733005.9,0.6081486921785993,0.8000550026815179,3114.406571105648
6,366932824437344.1,0.5888077538312932,0.8897537904384474,2855.368107043794
7,323774296946375.8,0.5531690041684264,0.9541964998587998,2709.5351465986073
8,291285224809098.44,0.5577715981830401,0.9181276624579142,2589.847201975548
9,271098723918103.88,0.5432620689337964,0.9973745741087758,2438.470965282168
10,257057416845872.9,0.4484705440232811,1.0675232768769454,2287.333549987067
